c_cmax,D_SI,D_wh_SI
0.7975925612349014,5.409913027688916e-16,5.610762494043378e-16
0.7949543421991621,5.5712401269295e-16,5.771521195151257e-16
0.7923160277753887,5.777097240416989e-16,5.978721520653452e-16
0.7896777574676584,5.920846907328117e-16,6.118980013262997e-16
0.7870392215806771,6.109795754118086e-16,6.295861349005494e-16
0.7844009559833253,6.225310436127571e-16,6.418062601482619e-16
0.7817625945809935,6.332199390126481e-16,6.524264166484178e-16
0.7791241050901305,6.419782694622545e-16,6.613129397268543e-16
0.7764857252483849,6.555597401190821e-16,6.746708752416503e-16
0.7738473993308579,6.613573190442166e-16,6.808510342017572e-16
0.771209033017288,6.654486685947889e-16,6.86066266273502e-16
0.7685706448689805,6.681773438445195e-16,6.8816915014762975e-16
0.7659321993185111,6.695619942000418e-16,6.902817172867085e-16
0.7632938872630909,6.816873261043412e-16,7.043855452444083e-16
0.7606554278821218,6.799316152218545e-16,7.022281635242708e-16
0.7580170807267068,6.768023209026537e-16,7.000806780430669e-16
0.755378763202182,6.724536237281543e-16,6.968778731926238e-16
0.7527405057520508,6.670396852098451e-16,6.915884966883333e-16
0.7501022450004925,6.667419282495335e-16,6.92758696981181e-16
0.7474640206663375,6.533477540316556e-16,6.801617710679818e-16
0.744825705166732,6.452285001033772e-16,6.720283701023728e-16
0.7421873245235726,6.429441625894343e-16,6.702314724891723e-16
0.7395488731001721,6.276144780178489e-16,6.561932061376514e-16
0.736910550059527,6.243678452371987e-16,6.535682340226731e-16
0.7342722991732146,6.149654435041093e-16,6.449969400950821e-16
0.7316339942693767,6.000401364664557e-16,6.307124241999734e-16
0.7289957054842395,5.962323890991231e-16,6.274468263185134e-16
0.7263573465478828,5.870452498933877e-16,6.184962016571868e-16
0.7237189451625717,5.782544337473626e-16,6.097357428614975e-16
0.7210805197518012,5.753029699017434e-16,6.075965619623408e-16
0.7184423424373192,5.622097082959923e-16,5.944291799913678e-16
0.7158040453967386,5.547210272439316e-16,5.869911404542532e-16
0.713165715000663,5.531982929288492e-16,5.858835356108767e-16
0.7105274736160311,5.472239484649535e-16,5.802364983356232e-16
0.707889097231698,5.418096319188255e-16,5.746707127677298e-16
0.7052507534917077,5.421402406600544e-16,5.752287562863905e-16
0.702612466390505,5.334108432963665e-16,5.660849212750951e-16
0.699974187506673,5.353263700723056e-16,5.682114599694631e-16
0.6973360091621386,5.379214845294086e-16,5.703304192815534e-16
0.6946976183468178,5.314908992531375e-16,5.636043590306577e-16
0.6920593213997668,5.358838025641058e-16,5.680174899193439e-16
0.6894210455658222,5.409160519360759e-16,5.724418287099001e-16
0.6867826959707511,5.418411700113558e-16,5.732167075769461e-16
0.6841443290668979,5.486249282943289e-16,5.80008260950483e-16
0.6815059683168015,5.510037124813297e-16,5.815832996304898e-16
0.6788677696864008,5.593097873188369e-16,5.892545575526134e-16
0.6762294298497045,5.631140075237118e-16,5.92472323900026e-16
0.6735910741592517,5.778021325042583e-16,6.064985001442604e-16
0.670952799942287,5.883115085460005e-16,6.161299709091646e-16
0.6683144465313214,5.939285904537774e-16,6.212324747665315e-16
0.665676148387975,6.106783132612594e-16,6.375840957711684e-16
0.6630379719770907,6.226946996276955e-16,6.494869852971369e-16
0.6603997377653991,6.351370342621443e-16,6.60694863842797e-16
0.6577612729738085,6.590822792179221e-16,6.838334967059576e-16
0.6551229316091984,6.720993272582101e-16,6.955783130599489e-16
0.6524846124129325,6.909814453900719e-16,7.145938141119203e-16
0.6498462685438864,7.102832573694987e-16,7.330164638705328e-16
0.6472079511113831,7.293679859873793e-16,7.5076290590653545e-16
0.6445695662250766,7.544451711896258e-16,7.763548429751698e-16
0.6419312569393005,7.796384622583874e-16,8.014492834808135e-16
0.6392928984655348,8.108099030272635e-16,8.314124996477979e-16
0.6366546218036562,8.285404794181433e-16,8.484833592384216e-16
0.6340161768961861,8.585075788750977e-16,8.78275013406322e-16
0.6313778771054294,8.885960706289535e-16,9.086691608668552e-16
0.6287395039090238,9.165766052618865e-16,9.383103063281741e-16
0.6261011679450763,9.51087512165307e-16,9.715106696708034e-16
0.6234627923179386,9.84249353399822e-16,1.0051898487373507e-15
0.6208244129243573,1.008510430326869e-15,1.0303931258466209e-15
0.618186099085611,1.0535287710153437e-15,1.0769128431224853e-15
0.615547682782022,1.0815644317376552e-15,1.1071978150421586e-15
0.6129093725807756,1.1152479207374969e-15,1.1405484279832077e-15
0.6102710528221367,1.1549024063816915e-15,1.181821561205397e-15
0.6076326173013358,1.1924403543225989e-15,1.2216311913974646e-15
0.6049943774212607,1.2199637663422501e-15,1.2501181873876787e-15
0.6023560762264606,1.2688556524193122e-15,1.302500746064388e-15
0.5997177382507146,1.3003585229530373e-15,1.337074432702798e-15
0.5970793564929091,1.329638568775021e-15,1.3677952079192221e-15
0.5944411009974447,1.3739831685943158e-15,1.412629882721364e-15
0.5918028168664619,1.4084259808339217e-15,1.4510279807784957e-15
0.5891645207309312,1.4420409920271056e-15,1.4872495511616905e-15
0.5865263202165627,1.4755734811036476e-15,1.5231939118758798e-15
0.5838878999269461,1.5008505626516303e-15,1.5506413271838088e-15
0.5812497032478317,1.5428903400360983e-15,1.5921906898926536e-15
0.5786113958208843,1.5701015025007399e-15,1.6210833096226408e-15
0.5759731900716838,1.5904396859103125e-15,1.6456442758418058e-15
0.5733349949379349,1.6214118362757426e-15,1.6782537075202153e-15
0.5706967176790512,1.6468239846720611e-15,1.7045524211720621e-15
0.5680584112856837,1.6686289391911459e-15,1.7267039233022502e-15
