x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
7.58895	0	0.000264962	0.000264962	0.000264961	0.000264961	0.00026496	0.00026496	0.00026496	0.00026496	0.000264959	0.000264959	0.00026496	0.00026496	0.00026496	0.00026496	0.00026496	0.000264959	0.000264959	0.000264959	0.000264959	0.000264959	0.000264959	0.00026496	0.00026496	0.00026496	0.00026496	0.00026496	0.00026496	0.000264959	0.000264959	0.000264959	0.00026496	0.000264961	0.000264965	0.000264953	0.000264955
8.22053	0	0.00028705	0.000287049	0.000287048	0.000287048	0.000287047	0.000287047	0.000287047	0.000287046	0.000287046	0.000287046	0.000287047	0.000287047	0.000287047	0.000287047	0.000287046	0.000287046	0.000287046	0.000287046	0.000287045	0.000287046	0.000287046	0.000287047	0.000287047	0.000287047	0.000287047	0.000287047	0.000287046	0.000287046	0.000287046	0.000287046	0.000287046	0.000287048	0.000287052	0.000287039	0.000287041
8.85211	0	0.000309138	0.000309137	0.000309137	0.000309136	0.000309135	0.000309135	0.000309135	0.000309134	0.000309134	0.000309134	0.000309135	0.000309135	0.000309135	0.000309135	0.000309134	0.000309134	0.000309134	0.000309134	0.000309133	0.000309133	0.000309134	0.000309135	0.000309135	0.000309135	0.000309135	0.000309135	0.000309134	0.000309134	0.000309134	0.000309134	0.000309135	0.000309136	0.000309141	0.000309127	0.000309129
9.48368	0	0.000331227	0.000331226	0.000331226	0.000331225	0.000331225	0.000331224	0.000331224	0.000331224	0.000331223	0.000331223	0.000331224	0.000331224	0.000331224	0.000331224	0.000331224	0.000331223	0.000331223	0.000331223	0.000331222	0.000331222	0.000331223	0.000331224	0.000331224	0.000331224	0.000331224	0.000331224	0.000331224	0.000331223	0.000331223	0.000331223	0.000331224	0.000331225	0.000331231	0.000331215	0.000331217
10.1153	0	0.000353318	0.000353317	0.000353316	0.000353315	0.000353315	0.000353314	0.000353314	0.000353314	0.000353314	0.000353314	0.000353314	0.000353314	0.000353314	0.000353314	0.000353314	0.000353313	0.000353313	0.000353313	0.000353312	0.000353313	0.000353313	0.000353314	0.000353314	0.000353315	0.000353314	0.000353314	0.000353314	0.000353313	0.000353313	0.000353313	0.000353314	0.000353315	0.000353322	0.000353304	0.000353307
10.7468	0	0.000375409	0.000375408	0.000375408	0.000375407	0.000375406	0.000375406	0.000375405	0.000375405	0.000375405	0.000375405	0.000375405	0.000375405	0.000375405	0.000375405	0.000375405	0.000375405	0.000375404	0.000375404	0.000375404	0.000375404	0.000375404	0.000375405	0.000375406	0.000375406	0.000375406	0.000375405	0.000375405	0.000375405	0.000375404	0.000375405	0.000375405	0.000375407	0.000375414	0.000375395	0.000375398
11.3784	0	0.000397502	0.000397501	0.0003975	0.000397499	0.000397499	0.000397498	0.000397498	0.000397497	0.000397497	0.000397497	0.000397498	0.000397498	0.000397498	0.000397498	0.000397497	0.000397497	0.000397497	0.000397496	0.000397496	0.000397496	0.000397497	0.000397498	0.000397498	0.000397498	0.000397498	0.000397498	0.000397497	0.000397497	0.000397497	0.000397497	0.000397498	0.000397499	0.000397507	0.000397486	0.00039749
12.01	0	0.000419596	0.000419595	0.000419594	0.000419593	0.000419592	0.000419592	0.000419591	0.000419591	0.000419591	0.000419591	0.000419591	0.000419591	0.000419591	0.000419591	0.000419591	0.000419591	0.00041959	0.00041959	0.000419589	0.00041959	0.00041959	0.000419591	0.000419592	0.000419592	0.000419592	0.000419591	0.000419591	0.000419591	0.00041959	0.00041959	0.000419591	0.000419593	0.000419601	0.000419579	0.000419583
14.6169	0	0.000568487	0.000568497	0.000568508	0.000568517	0.000568526	0.000568533	0.00056854	0.000568544	0.000568546	0.000568546	0.000568544	0.000568542	0.00056854	0.000568541	0.000568543	0.000568548	0.000568553	0.000568559	0.000568562	0.000568562	0.000568556	0.000568546	0.000568538	0.000568534	0.000568535	0.000568538	0.000568543	0.000568548	0.000568552	0.000568552	0.000568547	0.000568531	0.000568469	0.000568637	0.000568647
17.2238	0	0.000712087	0.000712132	0.000712175	0.000712214	0.00071225	0.000712282	0.000712308	0.000712326	0.000712335	0.000712334	0.000712325	0.000712314	0.000712309	0.000712312	0.000712323	0.000712342	0.000712364	0.000712386	0.000712402	0.000712401	0.000712375	0.000712332	0.000712298	0.000712283	0.000712286	0.000712301	0.000712322	0.000712343	0.000712358	0.000712359	0.000712335	0.000712267	0.000711999	0.000712731	0.000712752
