x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0.00689655	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00724138	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00758621	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00793103	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00827586	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00862069	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00896552	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00931034	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00965517	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.01	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.641579	1000	975.296	975.281	975.267	975.254	975.242	975.232	975.223	975.217	975.214	975.214	975.217	975.221	975.222	975.221	975.218	975.212	975.204	975.196	975.191	975.191	975.2	975.214	975.226	975.231	975.23	975.225	975.218	975.211	975.206	975.206	975.214	975.236	975.324	975.078	975.071
