t(s)	cell#0
569000	3.28898e-25
570000	0.000780235
571000	-2.70843e-30
572000	-3.41497e-31
573000	8.63354e-26
574000	-8.20863e-28
575000	9.61177e-34
576000	3.06306e-25
577000	-4.83443e-26
578000	4.78675e-29
579000	5.51188e-31
580000	2.4647e-25
581000	4.85993e-26
582000	-1.55235e-31
583000	1.99001e-31
584000	-1.96828e-25
585000	0.000780225
586000	5.98752e-30
587000	-3.70274e-31
588000	-9.21243e-27
589000	2.35683e-27
590000	1.46434e-30
591000	6.14017e-32
592000	-8.16706e-26
593000	-6.26986e-29
594000	9.95838e-31
595000	3.97157e-25
596000	-9.72393e-26
597000	-7.162e-31
598000	-7.71867e-31
599000	-1.32055e-25
600000	0.000780223
601000	-4.97968e-30
602000	-2.3365e-32
603000	-5.52452e-26
604000	-9.64585e-28
605000	-1.18265e-30
606000	3.60088e-31
607000	-1.98803e-25
608000	3.80116e-29
609000	-2.4816e-31
610000	2.20004e-25
611000	4.55395e-27
612000	-3.55504e-30
613000	6.96669e-31
614000	1.16325e-25
615000	0.000780213
616000	1.69732e-30
617000	5.78938e-32
618000	-3.42284e-25
619000	-4.94717e-29
620000	5.95611e-32
621000	-4.18647e-32
622000	2.06795e-26
623000	-5.42804e-29
624000	2.19185e-30
625000	-1.04591e-25
626000	-3.19837e-26
627000	1.74825e-30
628000	-7.50704e-31
629000	-2.41833e-25
630000	0.000780286
631000	-2.37086e-30
632000	9.97313e-31
633000	-1.40549e-25
634000	-9.15006e-28
635000	-3.06408e-31
636000	4.7892e-25
637000	1.10254e-25
638000	2.35029e-29
639000	1.88251e-31
640000	8.39823e-26
641000	-2.86394e-26
642000	9.02948e-30
643000	-9.67545e-31
644000	-8.28433e-26
645000	0.000780174
646000	-8.84502e-32
647000	-1.71695e-30
648000	5.11827e-27
649000	3.54001e-31
650000	-8.83515e-31
651000	6.59933e-26
652000	1.75602e-26
653000	7.14209e-30
654000	1.78178e-31
655000	1.37164e-25
656000	-9.66497e-26
657000	3.62698e-30
658000	6.75572e-31
659000	5.34851e-27
660000	0.000780197
661000	-8.93869e-31
662000	6.62847e-31
663000	-2.24646e-25
664000	2.44789e-29
665000	2.73805e-31
666000	5.77212e-26
667000	1.62627e-25
668000	4.34396e-30
669000	-4.96587e-31
670000	-2.5925e-25
671000	-5.58274e-27
672000	1.63079e-30
673000	-6.71999e-31
674000	7.85916e-26
675000	0.000780258
676000	-1.66108e-30
677000	-4.7467e-26
678000	6.26859e-26
679000	3.78944e-29
680000	-3.752e-31
681000	-1.42612e-25
682000	9.31956e-26
683000	-7.88129e-30
684000	-5.12414e-31
685000	-1.5847e-25
686000	-7.44014e-26
687000	8.80205e-30
688000	5.22283e-32
689000	-2.81504e-25
690000	0.000780221
691000	-6.14339e-31
692000	2.73467e-25
693000	1.37535e-25
694000	1.16619e-28
695000	1.23283e-30
696000	-4.61751e-25
697000	-3.36764e-26
698000	2.44654e-29
699000	-2.02785e-30
700000	-1.49918e-25
701000	1.20193e-26
702000	-1.91356e-30
703000	7.26828e-31
704000	-1.73681e-25
705000	0.000780239
706000	7.01869e-31
707000	6.8195e-26
708000	-6.65619e-26
709000	5.47754e-29
710000	-6.9612e-31
711000	-5.29042e-25
712000	-5.64313e-26
713000	-1.74083e-29
714000	1.07791e-30
715000	2.76653e-26
716000	2.27619e-26
717000	1.78965e-31
718000	1.00941e-31
719000	2.19656e-25
720000	0.000780239
721000	-9.5539e-31
722000	3.30903e-25
723000	-2.32925e-25
724000	-4.18426e-29
725000	-4.47571e-31
726000	9.23645e-26
727000	7.55516e-26
728000	3.80623e-29
729000	-1.75481e-31
730000	-5.90246e-26
731000	-5.18124e-26
732000	2.05381e-31
733000	-9.6019e-31
734000	-2.51402e-25
735000	0.000780229
736000	1.13788e-30
737000	2.7211e-25
738000	-4.34051e-25
739000	3.12168e-28
740000	2.23462e-32
741000	-1.67834e-25
742000	-6.94485e-26
743000	-1.38346e-30
744000	9.23506e-31
745000	7.14555e-26
746000	-4.9962e-26
747000	-1.58275e-29
748000	1.02092e-30
749000	1.84053e-25
750000	0.000780234
751000	1.41505e-31
752000	-3.83958e-33
753000	-1.37184e-25
754000	-2.98543e-27
755000	-5.76561e-31
756000	-8.7279e-26
757000	-1.76838e-26
758000	-8.05374e-30
759000	4.76228e-31
760000	1.20577e-25
761000	3.88718e-26
762000	-9.75616e-30
763000	-4.33311e-32
764000	6.6183e-26
765000	0.000780223
766000	3.04501e-30
767000	7.3194e-32
768000	-5.77337e-26
769000	-3.86891e-27
770000	4.72183e-30
771000	5.81337e-32
772000	-7.14854e-26
773000	-9.87576e-30
774000	-5.30685e-31
775000	5.93638e-31
776000	-1.37689e-25
777000	7.41036e-30
778000	-2.40599e-31
779000	1.40603e-31
780000	0.000780207
781000	9.92104e-30
782000	-6.36381e-31
783000	1.39661e-25
784000	5.72861e-27
785000	1.35687e-30
786000	3.31219e-31
787000	-2.99698e-26
788000	1.11015e-28
789000	3.38265e-30
790000	1.96763e-31
791000	3.96914e-26
792000	2.09706e-29
793000	-2.26775e-30
794000	9.81913e-32
795000	0.000780197
796000	-2.11044e-29
797000	3.11752e-30
798000	-1.61159e-32
799000	-2.45357e-27
800000	1.85316e-31
801000	-2.56037e-30
802000	-9.72427e-32
803000	5.4225e-28
804000	8.94488e-31
805000	-1.73699e-30
806000	-4.40494e-32
807000	7.42421e-30
808000	1.08171e-30
809000	1.1753e-30
810000	0.000780223
811000	1.04548e-29
812000	4.16787e-31
813000	-1.17204e-30
814000	-4.00454e-27
815000	-5.156e-30
816000	1.14047e-30
817000	-4.52196e-31
818000	-2.11672e-30
819000	3.87342e-31
820000	1.49293e-32
821000	-2.64171e-34
822000	1.79925e-30
823000	-6.1512e-31
824000	1.12162e-31
825000	0.000780217
825132	0.000780296
